id,name,lat,lng,icon,url
1,Centro Cultural Nueva Uriarte,-34.5895446953542,-58.4353638032431,ccnuevauriarte.jpeg,https://livepass.com.ar/t/centro-cultural-nueva-uriarte
2,Cooperativa Cultural Qi,-34.5974020416018,-58.4463062609133,ccqi.jpeg,https://www.passline.com/sitio/4052219-cooperativa-de-trabajo-cultural-qi-ltda
3,Club Cultural Matienzo,-34.5972448097308,-58.4483941166611,ccmatienzo.jpeg,https://www.passline.com/sitio/ccmatienzo
4,Artlab,-34.5860323795512,-58.4463305320785,artlab.png,https://artlabpro.net/agenda/
5,Otra Historia Club Cultural,-34.5833025752509,-58.4647401609138,otrahistoriacc.jpeg,https://otrahistoria.com.ar/
6,La Quince Espacio Cultural,-34.5977740054203,-58.4411295897484,eclaquince.jpeg,https://www.instagram.com/laquincecooperativacultural/
7,Maquinal Espacio Cultural,-34.6054912360403,-58.4114511032424,ecmaquinal.jpeg,https://linktr.ee/maquinal?fbclid=PAZXh0bgNhZW0CMTEAAaZPHby4HOwnQ728l57Ia9ir0d5tdHbhUn34TnXM-BOWM2QQ-Y3vQRy-8ew_aem_9FXIm46AMSXOL2q7a3kltQ
8,JJ Circuito Cultural,-34.6060131162556,-58.4096097344456,ccjj.jpeg,https://www.instagram.com/jjcircuitocultural/
9,Ciudad Cultural Konex,-34.6065659463898,-58.4105312856648,cckonex.png,https://www.cckonex.org/agenda/
10,Centro Cultural Rojas,-34.6046300103287,-58.3959897628087,ccrojas.png,https://www.rojas.uba.ar/agenda
11,Teatro Colon,-34.6011198136413000,-58.3837526966742000,tcolon.png,https://teatrocolon.org.ar/calendario/
12,Teatro San Martin,-34.6042712726083000,-58.3884758719569000,tsanmartin.jpg,https://complejoteatral.gob.ar/agenda
13,Centro Cultural San Martin,-34.6053110976135000,-58.3884973296210000,ccsanmartin.png,https://elculturalsanmartin.ar/eventos/
14,Centro Cultural Borges,-34.5996594885032000,-58.3743839676602000,ccborges.jpeg,https://centroculturalborges.gob.ar/agenda/
15,Centro Cultural Kirchner,-34.6036162188682000,-58.3697318036402000,cck.jpg,https://palaciolibertad.gob.ar/agenda/
16,Centro Cultural Paco Urondo,-34.6052866035687000,-58.3708574431217000,ccpacourondo.jpeg,https://pacourondo.filo.uba.ar/eventos
17,Museo Moderno,-34.6219928800684000,-58.3704659210329000,mmoderno.png,https://museomoderno.org/agenda/
18,Museo de Arte Contemporaneo,-34.6219090049458000,-58.3702111111964000,macba.png,https://www.instagram.com/museomacba/?hl=en
